,Offense,District,Status,Activity,2016,2017
0,Aggravated Assault,District 1,Arrest,No Papered Cases,2,3
1,Aggravated Assault,District 1,Arrest,Papered Cases,13,22
2,Aggravated Assault,District 1,Conviction,Jury Trial,0,0
3,Aggravated Assault,District 1,Conviction,Court Trial,0,0
4,Aggravated Assault,District 1,Conviction,Guilty Pleas,7,10
5,Aggravated Assault,District 1,No Conviction,Dismissals,4,7
6,Aggravated Assault,District 1,No Conviction,Not Guilty Verdict,0,0
7,Aggravated Assault,District 1,In Progress,Pending Cases,2,5
8,Aggravated Assault,District 2,Arrest,No Papered Cases,2,6
9,Aggravated Assault,District 2,Arrest,Papered Cases,11,15
10,Aggravated Assault,District 2,Conviction,Jury Trial,0,0
11,Aggravated Assault,District 2,Conviction,Court Trial,0,1
12,Aggravated Assault,District 2,Conviction,Guilty Pleas,3,4
13,Aggravated Assault,District 2,No Conviction,Dismissals,6,5
14,Aggravated Assault,District 2,No Conviction,Not Guilty Verdict,0,2
15,Aggravated Assault,District 2,In Progress,Pending Cases,2,3
16,Aggravated Assault,District 3,Arrest,No Papered Cases,0,3
17,Aggravated Assault,District 3,Arrest,Papered Cases,19,15
18,Aggravated Assault,District 3,Conviction,Jury Trial,0,0
19,Aggravated Assault,District 3,Conviction,Court Trial,1,0
20,Aggravated Assault,District 3,Conviction,Guilty Pleas,8,5
21,Aggravated Assault,District 3,No Conviction,Dismissals,4,8
22,Aggravated Assault,District 3,No Conviction,Not Guilty Verdict,0,0
23,Aggravated Assault,District 3,In Progress,Pending Cases,5,2
24,Aggravated Assault,District 4,Arrest,No Papered Cases,4,1
25,Aggravated Assault,District 4,Arrest,Papered Cases,10,10
26,Aggravated Assault,District 4,Conviction,Jury Trial,0,0
27,Aggravated Assault,District 4,Conviction,Court Trial,0,0
28,Aggravated Assault,District 4,Conviction,Guilty Pleas,2,3
29,Aggravated Assault,District 4,No Conviction,Dismissals,6,4
30,Aggravated Assault,District 4,No Conviction,Not Guilty Verdict,1,1
31,Aggravated Assault,District 4,In Progress,Pending Cases,1,2
32,Aggravated Assault,District 5,Arrest,No Papered Cases,6,4
33,Aggravated Assault,District 5,Arrest,Papered Cases,20,11
34,Aggravated Assault,District 5,Conviction,Jury Trial,0,0
35,Aggravated Assault,District 5,Conviction,Court Trial,1,0
36,Aggravated Assault,District 5,Conviction,Guilty Pleas,7,6
37,Aggravated Assault,District 5,No Conviction,Dismissals,12,3
38,Aggravated Assault,District 5,No Conviction,Not Guilty Verdict,0,0
39,Aggravated Assault,District 5,In Progress,Pending Cases,0,2
40,Aggravated Assault,District 6,Arrest,No Papered Cases,1,3
41,Aggravated Assault,District 6,Arrest,Papered Cases,14,10
42,Aggravated Assault,District 6,Conviction,Jury Trial,0,0
43,Aggravated Assault,District 6,Conviction,Court Trial,2,0
44,Aggravated Assault,District 6,Conviction,Guilty Pleas,3,5
45,Aggravated Assault,District 6,No Conviction,Dismissals,8,5
46,Aggravated Assault,District 6,No Conviction,Not Guilty Verdict,0,0
47,Aggravated Assault,District 6,In Progress,Pending Cases,1,0
48,Aggravated Assault,District 7,Arrest,No Papered Cases,8,4
49,Aggravated Assault,District 7,Arrest,Papered Cases,26,15
50,Aggravated Assault,District 7,Conviction,Jury Trial,0,0
51,Aggravated Assault,District 7,Conviction,Court Trial,2,0
52,Aggravated Assault,District 7,Conviction,Guilty Pleas,11,6
53,Aggravated Assault,District 7,No Conviction,Dismissals,11,8
54,Aggravated Assault,District 7,No Conviction,Not Guilty Verdict,1,0
55,Aggravated Assault,District 7,In Progress,Pending Cases,1,1
56,Arson,District 1,Arrest,No Papered Cases,0,0
57,Arson,District 1,Arrest,Papered Cases,2,1
58,Arson,District 1,Conviction,Jury Trial,0,0
59,Arson,District 1,Conviction,Court Trial,0,0
60,Arson,District 1,Conviction,Guilty Pleas,1,0
61,Arson,District 1,No Conviction,Dismissals,1,0
62,Arson,District 1,No Conviction,Not Guilty Verdict,0,0
63,Arson,District 1,In Progress,Pending Cases,0,1
64,Arson,District 2,Arrest,No Papered Cases,0,0
65,Arson,District 2,Arrest,Papered Cases,0,2
66,Arson,District 2,Conviction,Jury Trial,0,0
67,Arson,District 2,Conviction,Court Trial,0,0
68,Arson,District 2,Conviction,Guilty Pleas,0,2
69,Arson,District 2,No Conviction,Dismissals,0,0
70,Arson,District 2,No Conviction,Not Guilty Verdict,0,0
71,Arson,District 2,In Progress,Pending Cases,0,0
72,Arson,District 3,Arrest,No Papered Cases,0,0
73,Arson,District 3,Arrest,Papered Cases,0,0
74,Arson,District 3,Conviction,Jury Trial,0,0
75,Arson,District 3,Conviction,Court Trial,0,0
76,Arson,District 3,Conviction,Guilty Pleas,0,0
77,Arson,District 3,No Conviction,Dismissals,0,0
78,Arson,District 3,No Conviction,Not Guilty Verdict,0,0
79,Arson,District 3,In Progress,Pending Cases,0,0
80,Arson,District 4,Arrest,No Papered Cases,0,0
81,Arson,District 4,Arrest,Papered Cases,1,5
82,Arson,District 4,Conviction,Jury Trial,0,0
83,Arson,District 4,Conviction,Court Trial,0,0
84,Arson,District 4,Conviction,Guilty Pleas,0,0
85,Arson,District 4,No Conviction,Dismissals,1,4
86,Arson,District 4,No Conviction,Not Guilty Verdict,0,0
87,Arson,District 4,In Progress,Pending Cases,0,1
88,Arson,District 5,Arrest,No Papered Cases,0,0
89,Arson,District 5,Arrest,Papered Cases,1,1
